id,true_label,primary_pred,all_preds,is_comorbidity,rationale,raw_snippet,Accuracy
5344,5,0,0,False,Questioning social worth suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
7444,1,1,1,False,Expression of feeling overwhelmed and at breaking point.,"```json {     'predicted_labels': [1],     'is_com",True
1731,0,0,0;1,True,Anxiety and depression symptoms are present.,"```json {     'predicted_labels': [0, 1],     'is_",True
8719,2,4,4,True,Compulsive eating and dopamine dependence are key indicators.,"```json {     'predicted_labels': [4],     'is_com",False
4521,2,2,2,True,The post suggests potential inattention and hyperactivity.,"```json {     'predicted_labels': [2],     'is_com",True
7453,1,1,1,False,The statement reflects a pessimistic outlook on relationships.,"```json {     'predicted_labels': [1],     'is_com",True
576,4,4,4,False,Focus on appearance and food choices suggest an eating disorder.,"```json {     'predicted_labels': [4],     'is_com",True
7428,1,1,1,False,The suggestion implies emotional disconnect.,"```json {     'predicted_labels': [1],     'is_com",True
5577,1,0,0,False,Reactionary behavior suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
439,4,0,0,False,Expressing temporary distress and annoyance suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
2750,2,0,0,False,Requesting medication suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
5730,1,0,0,False,Encouragement to manage social anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
5271,5,1,1,False,Dismissive attitude towards suffering suggests depression.,"```json {     'predicted_labels': [1],     'is_com",False
5652,1,1,1,False,Anhedonia is a key symptom of depression.,"```json {     'predicted_labels': [1],     'is_com",True
3999,1,0,0,False,Dismissive tone suggests potential anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
4556,2,0,0,False,Researching anything suggests anxiety and uncertainty.,"```json {     'predicted_labels': [0],     'is_com",False
582,4,4,4,False,Fasting schedule and restriction indicate an eating disorder.,"```json {     'predicted_labels': [4],     'is_com",True
6289,5,2,2,False,Possible ADHD based on focus on gaming mechanics.,"```json {     'predicted_labels': [2],     'is_com",False
7050,1,0,0,False,The post suggests anxiety due to defensiveness.,"```json {     'predicted_labels': [0],     'is_com",False
4894,0,0,0;1,True,Depersonalization and anxiety suggest both conditions.,"```json {     'predicted_labels': [0, 1],     'is_",True
8697,2,2,2,False,All-night activity suggests possible ADHD.,"```json {     'predicted_labels': [2],     'is_com",True
2249,3,0,0,False,Minimizing the negative impact of smoking suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
4639,2,0,0,False,Sensitivity to stimuli suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
7191,1,1,1,False,Expressions of disregard for others and lack of empathy.,"```json {     'predicted_labels': [1],     'is_com",True
5872,1,0,0,False,The post expresses a generalized anxiety about social interaction.,"```json {     'predicted_labels': [0],     'is_com",False
6330,4,4,4,False,The post discusses an eating disorder and its voice.,"```json {     'predicted_labels': [4],     'is_com",True
1963,0,1,1,True,Symptoms of depression are evident， including low mood and fatigue.,"```json {     'predicted_labels': [1],     'is_com",False
8242,2,0,0,False,Focus on achieving goals suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
6589,4,1,1,False,Expressing desire to be someone else suggests depression.,"```json {     'predicted_labels': [1],     'is_com",False
8846,0,0,0,False,The post suggests anxiety about potential harm.,"```json {     'predicted_labels': [0],     'is_com",True
321,4,4,4,False,Binge eating and financial struggles indicate an eating disorder.,"```json {     'predicted_labels': [4],     'is_com",True
2678,2,3,3,False,The post describes mental rituals characteristic of OCD.,"```json {     'predicted_labels': [3],     'is_com",False
6630,3,1,1,False,The post expresses a sense of accomplishment over overcoming a struggle.,"```json {     'predicted_labels': [1],     'is_com",False
9885,5,0,0,False,The statement suggests anxiety about a sudden change.,"```json {     'predicted_labels': [0],     'is_com",False
9285,5,2,2,False,Repetitive behavior despite lack of reward suggests ADHD.,"```json {     'predicted_labels': [2],     'is_com",False
3337,5,0,0,False,Emphasis on getting something 'right' suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
5459,1,1,1,False,Loss of emotional experience aligns with depression.,"```json {     'predicted_labels': [1],     'is_com",True
251,4,0,0,False,Noticing patterns suggests anxiety about social situations.,"```json {     'predicted_labels': [0],     'is_com",False
3973,0,0,0;1,True,Alcohol use exacerbates anxiety and can trigger depressive symptoms.,"```json {     'predicted_labels': [0, 1],     'is_",True
7281,1,1,1,False,Expression suggests low mood and lack of motivation.,"```json {     'predicted_labels': [1],     'is_com",True
6773,1,0,0;1,True,Dissociation， stress， and sadness suggest both anxiety and depression.,"```json {     'predicted_labels': [0, 1],     'is_",False
35,2,0,0,False,The post focuses on distraction and suggests strategies to manage it.,"```json {     'predicted_labels': [0],     'is_com",False
8361,2,0,0,False,Exhaustion and academic burnout suggest anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
1513,0,0,0,False,Focus on fear and panic suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",True
8579,2,2,2,True,Symptoms suggest ADHD with possible comorbid anxiety.,"```json {     'predicted_labels': [2],     'is_com",True
39,2,0,0,False,Avoiding news to manage overwhelming anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
4755,2,0,0,False,Sleepiness could be a symptom of anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
3465,5,2,2,False,Focus on a specific task with limited distractions.,"```json {     'predicted_labels': [2],     'is_com",False
1760,0,1,1,False,The post directly mentions depression/anxiety.,"```json {     'predicted_labels': [1],     'is_com",False
2304,5,2,2,False,Focus on game mechanics suggests potential ADHD.,"```json {     'predicted_labels': [2],     'is_com",False
3723,5,2,2,False,Impatience and disinterest in traditional learning.,"```json {     'predicted_labels': [2],     'is_com",False
5538,1,1,1,False,Hopelessness and cyclical negativity suggest depression.,"```json {     'predicted_labels': [1],     'is_com",True
4992,0,0,0,False,Overthinking and focusing on breathing suggest anxiety.,"```json {     'predicted_labels': [0],     'is_com",True
8126,2,2,2,False,Focus to the point of neglecting other tasks is ADHD-like.,"```json {     'predicted_labels': [2],     'is_com",True
3032,5,0,0,False,Concern for damage suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
7937,2,2,2,False,Describes lack of control over brain processing.,"```json {     'predicted_labels': [2],     'is_com",True
3039,5,0,0,False,The post suggests a lack of interest and motivation.,"```json {     'predicted_labels': [0],     'is_com",False
6824,0,-1,[],False,No symptoms of any listed conditions are present.,"```json {     'predicted_labels': [],     'is_como",False
2545,2,2,2,False,Suspicion of ADHD based on external observation.,"```json {     'predicted_labels': [2],     'is_com",True
2592,0,0,0,False,Worry and sleep disruption are classic anxiety symptoms.,"```json {     'predicted_labels': [0],     'is_com",True
1188,4,4,4,False,Mentioning a group for ARFID suggests an eating disorder.,"```json {     'predicted_labels': [4],     'is_com",True
5365,5,2,2,False,Focus on game mechanics suggests potential ADHD.,"```json {     'predicted_labels': [2],     'is_com",False
6076,3,3,3,False,Compulsive behaviors suggest OCD.,"```json {     'predicted_labels': [3],     'is_com",True
107,1,1,1,True,Loneliness， lack of real connections， and escapism suggest depression.,"{     'predicted_labels': [1],     'is_comorbidity",True
1315,4,4,4,False,The link discusses weight gain after starvation， a key eating disorder symptom.,"```json {     'predicted_labels': [4],     'is_com",True
4751,2,0,0,False,The post suggests anxiety about a medical appointment.,"```json {     'predicted_labels': [0],     'is_com",False
2753,2,0,0,False,Seeking online therapy suggests anxiety.,"```json {     'predicted_labels': [0],     'is_com",False
9752,3,3,3,True,Rage and intrusive thoughts suggest OCD.,"```json {     'predicted_labels': [3],     'is_com",True
8852,0,0,0,False,Concerns about negativity and social interaction suggest anxiety.,"```json {     'predicted_labels': [0],     'is_com",True
2876,5,1,1,False,Expression of hopelessness and blame aligns with depression.,"```json {     'predicted_labels': [1],     'is_com",False
7073,1,1,1,False,Frequent suicidal ideation and hopelessness align with depression.,"```json {     'predicted_labels': [1],     'is_com",True
