id,true_label,primary_pred,all_preds,is_comorbidity,rationale,raw_snippet
5344,5,0,0,False,"Questioning social worth suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
7444,1,1,1,False,"Expression of feeling overwhelmed and at breaking point.","```json {     'predicted_labels': [1],     'is_com"
1731,0,0,0;1,True,"Anxiety and depression symptoms are present.","```json {     'predicted_labels': [0, 1],     'is_"
8719,2,4,4,True,"Compulsive eating and dopamine dependence are key indicators.","```json {     'predicted_labels': [4],     'is_com"
4521,2,2,2,True,"The post suggests potential inattention and hyperactivity.","```json {     'predicted_labels': [2],     'is_com"
7453,1,1,1,False,"The statement reflects a pessimistic outlook on relationships.","```json {     'predicted_labels': [1],     'is_com"
576,4,4,4,False,"Focus on appearance and food choices suggest an eating disorder.","```json {     'predicted_labels': [4],     'is_com"
7428,1,1,1,False,"The suggestion implies emotional disconnect.","```json {     'predicted_labels': [1],     'is_com"
5577,1,0,0,False,"Reactionary behavior suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
439,4,0,0,False,"Expressing temporary distress and annoyance suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
2750,2,0,0,False,"Requesting medication suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
5730,1,0,0,False,"Encouragement to manage social anxiety.","```json {     'predicted_labels': [0],     'is_com"
5271,5,1,1,False,"Dismissive attitude towards suffering suggests depression.","```json {     'predicted_labels': [1],     'is_com"
5652,1,1,1,False,"Anhedonia is a key symptom of depression.","```json {     'predicted_labels': [1],     'is_com"
3999,1,0,0,False,"Dismissive tone suggests potential anxiety.","```json {     'predicted_labels': [0],     'is_com"
4556,2,0,0,False,"Researching anything suggests anxiety and uncertainty.","```json {     'predicted_labels': [0],     'is_com"
582,4,4,4,False,"Fasting schedule and restriction indicate an eating disorder.","```json {     'predicted_labels': [4],     'is_com"
6289,5,2,2,False,"Possible ADHD based on focus on gaming mechanics.","```json {     'predicted_labels': [2],     'is_com"
7050,1,0,0,False,"The post suggests anxiety due to defensiveness.","```json {     'predicted_labels': [0],     'is_com"
4894,0,0,0;1,True,"Depersonalization and anxiety suggest both conditions.","```json {     'predicted_labels': [0, 1],     'is_"
8697,2,2,2,False,"All-night activity suggests possible ADHD.","```json {     'predicted_labels': [2],     'is_com"
2249,3,0,0,False,"Minimizing the negative impact of smoking suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
4639,2,0,0,False,"Sensitivity to stimuli suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
7191,1,1,1,False,"Expressions of disregard for others and lack of empathy.","```json {     'predicted_labels': [1],     'is_com"
5872,1,0,0,False,"The post expresses a generalized anxiety about social interaction.","```json {     'predicted_labels': [0],     'is_com"
6330,4,4,4,False,"The post discusses an eating disorder and its voice.","```json {     'predicted_labels': [4],     'is_com"
1963,0,1,1,True,"Symptoms of depression are evident， including low mood and fatigue.","```json {     'predicted_labels': [1],     'is_com"
8242,2,0,0,False,"Focus on achieving goals suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
6589,4,1,1,False,"Expressing desire to be someone else suggests depression.","```json {     'predicted_labels': [1],     'is_com"
8846,0,0,0,False,"The post suggests anxiety about potential harm.","```json {     'predicted_labels': [0],     'is_com"
321,4,4,4,False,"Binge eating and financial struggles indicate an eating disorder.","```json {     'predicted_labels': [4],     'is_com"
2678,2,3,3,False,"The post describes mental rituals characteristic of OCD.","```json {     'predicted_labels': [3],     'is_com"
6630,3,1,1,False,"The post expresses a sense of accomplishment over overcoming a struggle.","```json {     'predicted_labels': [1],     'is_com"
9885,5,0,0,False,"The statement suggests anxiety about a sudden change.","```json {     'predicted_labels': [0],     'is_com"
9285,5,2,2,False,"Repetitive behavior despite lack of reward suggests ADHD.","```json {     'predicted_labels': [2],     'is_com"
3337,5,0,0,False,"Emphasis on getting something 'right' suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
5459,1,1,1,False,"Loss of emotional experience aligns with depression.","```json {     'predicted_labels': [1],     'is_com"
251,4,0,0,False,"Noticing patterns suggests anxiety about social situations.","```json {     'predicted_labels': [0],     'is_com"
3973,0,0,0;1,True,"Alcohol use exacerbates anxiety and can trigger depressive symptoms.","```json {     'predicted_labels': [0, 1],     'is_"
7281,1,1,1,False,"Expression suggests low mood and lack of motivation.","```json {     'predicted_labels': [1],     'is_com"
6773,1,0,0;1,True,"Dissociation， stress， and sadness suggest both anxiety and depression.","```json {     'predicted_labels': [0, 1],     'is_"
35,2,0,0,False,"The post focuses on distraction and suggests strategies to manage it.","```json {     'predicted_labels': [0],     'is_com"
8361,2,0,0,False,"Exhaustion and academic burnout suggest anxiety.","```json {     'predicted_labels': [0],     'is_com"
1513,0,0,0,False,"Focus on fear and panic suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
8579,2,2,2,True,"Symptoms suggest ADHD with possible comorbid anxiety.","```json {     'predicted_labels': [2],     'is_com"
39,2,0,0,False,"Avoiding news to manage overwhelming anxiety.","```json {     'predicted_labels': [0],     'is_com"
4755,2,0,0,False,"Sleepiness could be a symptom of anxiety.","```json {     'predicted_labels': [0],     'is_com"
3465,5,2,2,False,"Focus on a specific task with limited distractions.","```json {     'predicted_labels': [2],     'is_com"
1760,0,1,1,False,"The post directly mentions depression/anxiety.","```json {     'predicted_labels': [1],     'is_com"
2304,5,2,2,False,"Focus on game mechanics suggests potential ADHD.","```json {     'predicted_labels': [2],     'is_com"
3723,5,2,2,False,"Impatience and disinterest in traditional learning.","```json {     'predicted_labels': [2],     'is_com"
5538,1,1,1,False,"Hopelessness and cyclical negativity suggest depression.","```json {     'predicted_labels': [1],     'is_com"
4992,0,0,0,False,"Overthinking and focusing on breathing suggest anxiety.","```json {     'predicted_labels': [0],     'is_com"
8126,2,2,2,False,"Focus to the point of neglecting other tasks is ADHD-like.","```json {     'predicted_labels': [2],     'is_com"
3032,5,0,0,False,"Concern for damage suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
7937,2,2,2,False,"Describes lack of control over brain processing.","```json {     'predicted_labels': [2],     'is_com"
3039,5,0,0,False,"The post suggests a lack of interest and motivation.","```json {     'predicted_labels': [0],     'is_com"
6824,0,-1,[],False,"No symptoms of any listed conditions are present.","```json {     'predicted_labels': [],     'is_como"
2545,2,2,2,False,"Suspicion of ADHD based on external observation.","```json {     'predicted_labels': [2],     'is_com"
2592,0,0,0,False,"Worry and sleep disruption are classic anxiety symptoms.","```json {     'predicted_labels': [0],     'is_com"
1188,4,4,4,False,"Mentioning a group for ARFID suggests an eating disorder.","```json {     'predicted_labels': [4],     'is_com"
5365,5,2,2,False,"Focus on game mechanics suggests potential ADHD.","```json {     'predicted_labels': [2],     'is_com"
6076,3,3,3,False,"Compulsive behaviors suggest OCD.","```json {     'predicted_labels': [3],     'is_com"
107,1,1,1,True,"Loneliness， lack of real connections， and escapism suggest depression.","{     'predicted_labels': [1],     'is_comorbidity"
1315,4,4,4,False,"The link discusses weight gain after starvation， a key eating disorder symptom.","```json {     'predicted_labels': [4],     'is_com"
4751,2,0,0,False,"The post suggests anxiety about a medical appointment.","```json {     'predicted_labels': [0],     'is_com"
2753,2,0,0,False,"Seeking online therapy suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
9752,3,3,3,True,"Rage and intrusive thoughts suggest OCD.","```json {     'predicted_labels': [3],     'is_com"
8852,0,0,0,False,"Concerns about negativity and social interaction suggest anxiety.","```json {     'predicted_labels': [0],     'is_com"
2876,5,1,1,False,"Expression of hopelessness and blame aligns with depression.","```json {     'predicted_labels': [1],     'is_com"
7073,1,1,1,False,"Frequent suicidal ideation and hopelessness align with depression.","```json {     'predicted_labels': [1],     'is_com"
799,4,-1,[],False,"The post expresses nostalgia， not clinical symptoms.","```json {     'predicted_labels': [],     'is_como"
3570,5,0,0,False,"Seeking advice on a platform suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
2894,5,0,0,False,"Expression suggests anxiety about quality and control.","```json {     'predicted_labels': [0],     'is_com"
2927,5,0,0,False,"The post expresses frustration and negativity.","```json {     'predicted_labels': [0],     'is_com"
7445,1,1,1,True,"Substance use as a coping mechanism for emotional numbness.","```json {     'predicted_labels': [1],     'is_com"
971,4,4,4,False,"Concern about digestion suggests potential eating disorder.","```json {     'predicted_labels': [4],     'is_com"
8344,2,1,1,False,"Expression of low mood and negative outlook.","```json {     'predicted_labels': [1],     'is_com"
8574,2,2,2,False,"Forgetting medication is a common ADHD symptom.","```json {     'predicted_labels': [2],     'is_com"
2020,0,0,0,False,"The post explicitly mentions anxiety symptoms.","```json {     'predicted_labels': [0],     'is_com"
9053,5,0,0,False,"Dismissing others as trolls suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
952,4,4,4,False,"The post describes a restrictive eating pattern.","```json {     'predicted_labels': [4],     'is_com"
5358,5,0,0,False,"The post suggests anxiety related to fear of insects.","```json {     'predicted_labels': [0],     'is_com"
3857,5,2,2,False,"Impulsive disregard for safety rules suggests ADHD.","```json {     'predicted_labels': [2],     'is_com"
5860,1,1,1,False,"Expressions of anger， disappointment， and exhaustion suggest depression.","```json {     'predicted_labels': [1],     'is_com"
3145,5,-1,[],False,"The post does not indicate any mental health symptoms.","```json {     'predicted_labels': [],     'is_como"
3305,5,2,2,False,"Focus on gaming and potential impulsivity.","```json {     'predicted_labels': [2],     'is_com"
3006,5,0,0,False,"Relief at avoiding a permanent mark suggests anxiety.","```json {     'predicted_labels': [0],     'is_com"
7436,1,1,1,False,"Self-harm and coping mechanisms suggest depression.","```json {     'predicted_labels': [1],     'is_com"
8876,2,1,1,False,"Expression of gratitude may indicate depression.","```json {     'predicted_labels': [1],     'is_com"
8608,2,4,4,True,"History of eating issues and avoidance of weight checks.","```json {     'predicted_labels': [4],     'is_com"
7379,1,0,0,False,"The post expresses anger and judgment， suggesting anxiety.","```json {     'predicted_labels': [0],     'is_com"
9237,5,0,0,False,"The post suggests a possible anxiety-driven compulsion.","```json {     'predicted_labels': [0],     'is_com"
1056,4,4,4,False,"The post discusses binge eating and calorie control.","```json {     'predicted_labels': [4],     'is_com"
